光纤位置,0,5,10,15,20,25,30,35,40
58.11783,121.81083,123.11324,126.74633,128.18585,116.87531,118.17776,122.56486,126.67779,129.96812
58.40671,121.39953,123.11324,126.40359,128.25439,115.98419,117.76647,122.35921,125.64956,129.48828
58.6956,120.85115,122.22211,125.64956,127.8431,115.50435,117.21807,122.01647,125.9923,128.93989
58.98448,119.82292,121.19387,124.75843,127.02051,113.85918,116.46404,120.85115,124.75843,128.3915
59.27336,119.27453,120.64549,124.00439,125.78664,112.8995,115.71001,120.37131,123.79875,127.15763
59.56225,118.86325,120.98823,123.79875,125.71809,112.41966,115.29872,119.96001,123.38745,127.36327
59.85113,118.6576,120.85113,123.66165,125.23825,112.14547,115.09308,119.61727,123.25035,126.95198
60.14001,118.45195,120.0971,123.3189,125.03261,112.07692,114.47614,119.34308,122.83906,126.54069
60.42889,117.56082,120.0971,122.70196,124.07293,111.11724,113.58501,118.79469,122.35922,125.64955
60.71778,116.94388,119.61726,122.15357,123.66164,110.43175,113.72211,117.90355,121.87938,125.37536
61.00666,116.80679,120.2342,122.35922,124.55277,110.56885,114.13339,117.69791,122.49631,125.44391
61.29554,116.80679,120.16565,122.01647,125.23826,110.50031,114.27049,117.21807,122.42777,125.37536
61.58443,116.87534,120.09711,121.87937,124.75842,110.15757,113.99629,117.01242,121.53663,124.75843
61.87331,117.49228,120.78259,122.15357,125.44391,110.43176,114.40758,117.69791,122.35922,125.23827
62.16219,118.24632,122.01647,122.9076,126.19794,111.87128,115.36726,118.93178,123.18181,126.26649
62.45108,120.37133,124.00438,125.03261,128.18585,114.88742,117.62937,121.33098,124.96407,128.87134
62.73996,121.8794,125.37535,126.67777,129.55682,117.08097,119.75437,122.08501,126.95198,130.85925
63.02884,124.1415,127.50036,129.21407,131.61328,119.48017,121.94793,123.86728,128.73425,132.98426
63.31773,126.5407,129.55682,131.47617,133.94393,122.77051,124.07294,126.12939,131.20199,134.97217
63.60661,128.46006,131.54473,133.60118,136.06894,124.82697,126.12939,127.9802,133.25845,137.02863
63.89549,131.06491,133.73829,136.27457,138.53669,127.43181,128.80279,130.79069,135.58911,138.94799
64.18438,133.32701,135.52055,138.46813,141.00444,129.69392,130.79069,132.98425,137.91976,141.00444
64.47326,135.31492,138.1254,140.45605,143.33509,131.20199,132.98425,135.38345,139.90767,143.12945
64.76214,137.30283,139.63347,142.10121,145.39155,133.39555,134.90361,137.09717,141.89558,144.98026
65.05103,138.87945,140.5246,143.54073,146.76251,134.62943,135.52054,138.39959,143.40365,146.28269
65.33991,139.77058,141.34718,144.08912,146.76251,135.79475,136.61732,139.49637,144.22624,147.44801
65.62879,140.25042,141.89557,144.43187,146.76251,136.54879,137.16571,140.04475,144.43188,147.92785
65.91768,139.42783,140.93589,143.95203,146.48832,135.79475,136.54878,139.29072,144.84317,147.92785
66.20656,138.6738,140.52459,143.47219,146.00848,135.38345,136.13749,138.81088,143.95204,147.17382
66.49544,137.91976,139.63347,142.64961,145.25445,134.08103,135.52055,137.7141,143.19801,145.80285
66.78433,136.13749,137.64555,141.07299,143.54073,132.02457,133.46409,135.72619,141.75849,143.60929
67.07321,135.10926,136.68587,139.97621,142.58105,130.58505,132.02457,134.83506,140.38751,142.10121
67.36209,133.39555,135.3149,138.05685,141.14153,128.87133,130.10521,132.84715,138.12541,140.11331
67.65098,132.09312,133.87538,136.75443,139.63347,127.22617,129.00843,131.47617,136.82299,138.60524
67.93986,130.31086,132.16166,135.10926,138.05685,125.64955,127.50036,129.76246,134.62943,137.02862
68.22874,127.56891,129.76246,132.36732,135.7262,122.90761,125.16971,126.81487,132.23023,134.90361
68.51763,125.7181,127.50035,130.37941,133.53264,120.30276,122.9076,124.75841,129.28264,132.71006
68.80651,123.93584,125.58099,128.52859,131.27054,118.5205,120.85115,122.29065,127.50037,130.51651
69.09539,121.81083,123.52453,126.47214,129.00844,115.50436,117.97211,119.48016,125.03263,128.11731
69.38428,120.23421,122.83905,124.82697,127.56892,114.13339,117.01243,118.45193,123.59311,126.47214
69.67316,118.6576,121.81082,123.38745,126.67779,112.28257,115.02452,116.73822,121.74229,124.41568
69.96204,117.21808,120.02856,122.08503,125.44391,110.22611,113.58499,115.16161,120.37133,122.83906
70.25093,116.3955,119.68581,121.12535,124.41568,109.60918,112.69386,114.61322,119.00035,121.33099
70.53981,115.57291,118.79469,120.09711,123.25035,108.51241,111.59709,113.58499,117.83503,119.82291
70.82869,114.20195,117.21807,119.00033,121.46809,106.45595,109.74627,111.93983,116.05276,118.58904
71.11758,113.58501,116.94387,118.04065,120.9197,105.56483,109.33498,110.98015,114.88743,117.62936
71.40646,112.83097,115.77855,117.35517,119.68583,104.67369,108.44385,110.15757,114.1334,116.80678
71.69534,112.21403,114.95597,116.87533,118.93179,103.91965,107.68981,109.67773,113.51646,115.91565
71.98423,111.18581,114.27048,115.91564,117.83501,103.02852,106.93577,108.58095,112.69387,114.81887
72.27311,111.11725,114.20193,115.50435,117.69791,102.75433,106.45593,108.44385,112.14549,113.99629
72.56199,111.3229,113.92774,115.43579,117.28662,102.75433,105.97609,107.96401,111.93984,113.58499
72.85088,111.04871,113.92774,115.23015,117.35517,102.82287,106.04465,107.75837,112.00839,113.1737
73.13976,109.81483,112.69387,114.27047,116.25839,101.65755,104.74222,106.6616,110.77451,112.48821
73.42864,110.43177,112.96807,114.95595,116.60113,102.89142,105.63335,107.27853,110.84306,112.96805
73.71753,111.11725,113.24226,115.50434,117.14953,103.50835,106.18175,107.62127,111.1858,113.58499
74.00641,111.3229,113.10516,115.84709,117.14953,103.5769,106.25029,107.34708,110.63741,113.17369
74.29529,112.00839,113.79065,116.53257,117.56082,104.19384,106.59304,108.23821,110.50031,113.51644
74.58418,112.69387,115.09307,117.28661,118.45195,104.81077,107.41563,108.58095,111.0487,113.99628
74.87306,112.55677,114.95597,117.49225,119.00033,104.94787,107.75837,108.71805,111.59709,114.61322
75.16194,113.17371,115.29871,117.90355,119.68582,106.18174,108.16966,109.67773,112.35112,115.16161
75.45083,113.31081,115.84711,118.17774,119.61727,106.04464,107.75837,109.74627,111.93983,114.95596
75.73971,113.585,115.91566,118.17774,120.02856,106.04464,107.96401,109.67773,112.07693,114.75031
76.02859,113.65355,116.60115,118.31484,119.96001,105.97609,108.37531,109.67773,112.21403,115.36725
76.31748,113.51645,116.32695,118.04065,120.02855,106.04465,107.96401,109.54063,111.66564,115.23016
76.60636,113.44791,116.05276,118.24629,119.82291,106.18175,107.89547,109.40353,112.07693,115.43581
76.89524,113.44791,115.91566,118.52049,120.50839,106.52449,108.30676,109.47209,112.21403,115.77855
77.18413,113.37936,115.71001,118.45195,120.2342,106.66159,108.51241,109.40353,112.76242,115.77855
77.47301,114.33904,116.46405,119.34308,121.19388,107.55272,109.67773,110.36321,113.65355,115.64145
77.76189,114.33904,116.66969,119.34308,121.33098,107.20998,109.88338,110.22612,113.7221,115.50435
78.05078,114.33904,116.60114,119.41163,121.46807,107.20998,109.88338,110.08902,113.51645,115.36726
78.33966,114.95597,116.60114,119.68583,122.01647,107.55273,110.43177,110.84305,114.20194,116.1213
78.62854,115.02452,116.73823,119.75437,122.15357,107.75837,110.56886,110.63741,114.75033,116.05275
78.91743,115.91565,116.80678,120.43986,122.77051,108.71805,111.25434,111.32289,115.43581,116.87533
79.20631,116.46404,116.73823,120.98825,122.70196,109.33499,111.73418,111.80273,116.2584,117.14953
79.49519,117.35517,117.97211,121.87939,123.73019,109.88338,112.89951,112.69387,117.01243,117.42372
79.78408,118.31485,118.58905,122.49633,124.55278,111.46,114.06483,113.65355,118.72615,118.5205
80.07296,118.24631,118.86324,122.70197,124.82697,111.80274,113.99629,113.99629,118.45195,118.3834
80.36184,117.76647,118.79469,122.63342,124.96407,111.59709,113.51645,113.65355,118.45195,117.90356
80.65072,117.97211,119.34307,122.83907,124.68988,111.52854,113.72209,113.85919,118.52049,117.69791
80.93961,117.69792,118.58904,122.70197,124.89553,111.32289,113.44789,113.585,118.38339,117.35517
